
2024/12/09 (19:30:19) | ===> btop++ v.1.4.0
2024/12/09 (19:30:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (19:49:15) | ===> btop++ v.1.4.0
2024/12/09 (19:49:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (20:18:50) | ===> btop++ v.1.4.0
2024/12/09 (20:18:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (20:59:43) | ===> btop++ v.1.4.0
2024/12/09 (20:59:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (23:42:00) | ===> btop++ v.1.4.0
2024/12/09 (23:42:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:17:12) | ===> btop++ v.1.4.0
2024/12/10 (00:17:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:25:30) | ===> btop++ v.1.4.0
2024/12/10 (00:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:54:01) | ===> btop++ v.1.4.0
2024/12/10 (00:54:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (01:07:48) | ===> btop++ v.1.4.0
2024/12/10 (01:07:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (13:52:46) | ===> btop++ v.1.4.0
2024/12/10 (13:52:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (14:52:43) | ===> btop++ v.1.4.0
2024/12/10 (14:52:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (16:12:17) | ===> btop++ v.1.4.0
2024/12/10 (16:12:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (18:20:59) | ===> btop++ v.1.4.0
2024/12/10 (18:20:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (15:25:51) | ===> btop++ v.1.4.0
2024/12/11 (15:25:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (15:28:13) | ===> btop++ v.1.4.0
2024/12/11 (15:28:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (18:01:05) | ===> btop++ v.1.4.0
2024/12/11 (18:01:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:14:23) | ===> btop++ v.1.4.0
2024/12/12 (21:14:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (22:01:05) | ===> btop++ v.1.4.0
2024/12/12 (22:01:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (22:02:02) | ===> btop++ v.1.4.0
2024/12/12 (22:02:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (14:27:44) | ===> btop++ v.1.4.0
2024/12/16 (14:27:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (18:41:23) | ===> btop++ v.1.4.0
2024/12/16 (18:41:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (18:43:03) | ===> btop++ v.1.4.0
2024/12/20 (18:43:03) | WARNING: Intel GPU: Failed to initialize PMU
